Species;Genus;Family
Coryphopterus glaucofraenum;Coryphopterus;Gobiidae
Coryphopterus hyalinus;Coryphopterus;Gobiidae
Coryphopterus lipernes;Coryphopterus;Gobiidae
Coryphopterus personatus;Coryphopterus;Gobiidae
Coryphopterus tortugae;Coryphopterus;Gobiidae
Coryphopterus urospilus;Coryphopterus;Gobiidae
Corythoichthys conspicillatus;Corythoichthys;Syngnathidae
Corythoichthys haematopterus;Corythoichthys;Syngnathidae
Corythoichthys intestinalis;Corythoichthys;Syngnathidae
Corythoichthys schultzi;Corythoichthys;Syngnathidae
Crenimugil crenilabis;Crenimugil;Mugilidae
Crossosalarias macrospilus;Crossosalarias;Blenniidae
Cryptocentrus caeruleomaculatus;Cryptocentrus;Gobiidae
Cryptocentrus caeruleopunctatus;Cryptocentrus;Gobiidae
Cryptocentrus cinctus;Cryptocentrus;Gobiidae
Cryptocentrus cryptocentrus;Cryptocentrus;Gobiidae
Cryptocentrus fasciatus;Cryptocentrus;Gobiidae
Cryptocentrus leptocephalus;Cryptocentrus;Gobiidae
Cryptocentrus strigilliceps;Cryptocentrus;Gobiidae
Ctenochaetus binotatus;Ctenochaetus;Acanthuridae
Ctenochaetus cyanocheilus;Ctenochaetus;Acanthuridae
Ctenochaetus flavicauda;Ctenochaetus;Acanthuridae
Ctenochaetus hawaiiensis;Ctenochaetus;Acanthuridae
Ctenochaetus marginatus;Ctenochaetus;Acanthuridae
Ctenochaetus striatus;Ctenochaetus;Acanthuridae
Ctenochaetus tominiensis;Ctenochaetus;Acanthuridae
Ctenochaetus truncatus;Ctenochaetus;Acanthuridae
Ctenogobiops crocineus;Ctenogobiops;Gobiidae
Ctenogobiops feroculus;Ctenogobiops;Gobiidae
Ctenogobiops mitodes;Ctenogobiops;Gobiidae
Ctenogobiops pomastictus;Ctenogobiops;Gobiidae
Ctenogobiops tangaroai;Ctenogobiops;Gobiidae
Cyclichthys orbicularis;Cyclichthys;Diodontidae
Cymbacephalus beauforti;Cymbacephalus;Platycephalidae
Cypho purpurascens;Cypho;Pseudochromidae
Cypho zaps;Cypho;Pseudochromidae
Cyprinocirrhites polyactis;Cyprinocirrhites;Cirrhitidae
Dascyllus albisella;Dascyllus;Pomacentridae
Dascyllus aruanus;Dascyllus;Pomacentridae
Dascyllus carneus;Dascyllus;Pomacentridae
Dascyllus flavicaudus;Dascyllus;Pomacentridae
Dascyllus melanurus;Dascyllus;Pomacentridae
Dascyllus reticulatus;Dascyllus;Pomacentridae
Dascyllus strasburgi;Dascyllus;Pomacentridae
Dascyllus trimaculatus;Dascyllus;Pomacentridae
Dasyatis americana;Dasyatis;Dasyatidae
Dasyatis brevis;Dasyatis;Dasyatidae
Dasyatis longa;Dasyatis;Dasyatidae
Dasyatis thetidis;Dasyatis;Dasyatidae
Decapterus macarellus;Decapterus;Carangidae
Decapterus punctatus;Decapterus;Carangidae
Dendrochirus barberi;Dendrochirus;Scorpaenidae
Dendrochirus zebra;Dendrochirus;Scorpaenidae
Dermatolepis dermatolepis;Dermatolepis;Serranidae
Diademichthys lineatus;Diademichthys;Gobiesocidae
Diagramma labiosum;Diagramma;Haemulidae
Diagramma melanacrum;Diagramma;Haemulidae
Diodon holocanthus;Diodon;Diodontidae
Diodon hystrix;Diodon;Diodontidae
Diodon liturosus;Diodon;Diodontidae
Diplodus argenteus;Diplodus;Sparidae
Diplogrammus goramensis;Diplogrammus;Callionymidae
Diploprion bifasciatum;Diploprion;Serranidae
Diproctacanthus xanthurus;Diproctacanthus;Labridae
Dischistodus chrysopoecilus;Dischistodus;Pomacentridae
Dischistodus darwiniensis;Dischistodus;Pomacentridae
Dischistodus melanotus;Dischistodus;Pomacentridae
Dischistodus perspicillatus;Dischistodus;Pomacentridae
Dischistodus prosopotaenia;Dischistodus;Pomacentridae
Dischistodus pseudochrysopoecilus;Dischistodus;Pomacentridae
Doratonotus megalepis;Doratonotus;Labridae
Doryrhamphus excisus;Doryrhamphus;Syngnathidae
Dotalabrus aurantiacus;Dotalabrus;Labridae
Dunckerocampus dactyliophorus;Dunckerocampus;Syngnathidae
Echeneis naucrates;Echeneis;Echeneidae
Echeneis neucratoides;Echeneis;Echeneidae
Echidna nebulosa;Echidna;Muraenidae
Echidna nocturna;Echidna;Muraenidae
Ecsenius aequalis;Ecsenius;Blenniidae
Ecsenius alleni;Ecsenius;Blenniidae
Ecsenius australianus;Ecsenius;Blenniidae
Ecsenius bandanus;Ecsenius;Blenniidae
Ecsenius bathi;Ecsenius;Blenniidae
Ecsenius bicolor;Ecsenius;Blenniidae
Ecsenius fijiensis;Ecsenius;Blenniidae
Ecsenius fourmanoiri;Ecsenius;Blenniidae
Ecsenius lineatus;Ecsenius;Blenniidae
Ecsenius lividanalis;Ecsenius;Blenniidae
Ecsenius mandibularis;Ecsenius;Blenniidae
Ecsenius midas;Ecsenius;Blenniidae
Ecsenius minutus;Ecsenius;Blenniidae
Ecsenius nalolo;Ecsenius;Blenniidae
Ecsenius namiyei;Ecsenius;Blenniidae
Ecsenius oculatus;Ecsenius;Blenniidae
Ecsenius ops;Ecsenius;Blenniidae
Ecsenius prooculis;Ecsenius;Blenniidae
Ecsenius schroederi;Ecsenius;Blenniidae
Ecsenius stictus;Ecsenius;Blenniidae
Ecsenius stigmatura;Ecsenius;Blenniidae
Ecsenius tigris;Ecsenius;Blenniidae
Ecsenius trilineatus;Ecsenius;Blenniidae
Ecsenius yaeyamaensis;Ecsenius;Blenniidae
Elacatinus evelynae;Elacatinus;Gobiidae
Elacatinus figaro;Elacatinus;Gobiidae
Elacatinus genie;Elacatinus;Gobiidae
Elacatinus lobeli;Elacatinus;Gobiidae
Elacatinus oceanops;Elacatinus;Gobiidae
Elacatinus prochilos;Elacatinus;Gobiidae
Elacatinus puncticulatus;Elacatinus;Gobiidae
Elacatinus randalli;Elacatinus;Gobiidae
Elacatinus saucrus;Elacatinus;Gobiidae
Elacatinus xanthiprora;Elacatinus;Gobiidae
Elagatis bipinnulata;Elagatis;Carangidae
Elops affinis;Elops;Elopidae
Emblemariopsis signifer;Emblemariopsis;Chaenopsidae
Enchelycore ramosa;Enchelycore;Muraenidae
Enneapterygius flavoccipitis;Enneapterygius;Tripterygiidae
Enneapterygius rufopileus;Enneapterygius;Tripterygiidae
Enneapterygius similis;Enneapterygius;Tripterygiidae
Enneapterygius tutuilae;Enneapterygius;Tripterygiidae
Epibulus brevis;Epibulus;Labridae
Epibulus insidiator;Epibulus;Labridae
Epinephelus adscensionis;Epinephelus;Serranidae
Epinephelus bilobatus;Epinephelus;Serranidae
Epinephelus bleekeri;Epinephelus;Serranidae
Epinephelus coeruleopunctatus;Epinephelus;Serranidae
Epinephelus coioides;Epinephelus;Serranidae
Epinephelus corallicola;Epinephelus;Serranidae
Epinephelus cyanopodus;Epinephelus;Serranidae
Epinephelus daemelii;Epinephelus;Serranidae
Epinephelus fasciatus;Epinephelus;Serranidae
Epinephelus fuscoguttatus;Epinephelus;Serranidae
Epinephelus guttatus;Epinephelus;Serranidae
Epinephelus hexagonatus;Epinephelus;Serranidae
Epinephelus howlandi;Epinephelus;Serranidae
Epinephelus irroratus;Epinephelus;Serranidae
Epinephelus itajara;Epinephelus;Serranidae
Epinephelus labriformis;Epinephelus;Serranidae
Epinephelus lanceolatus;Epinephelus;Serranidae
Epinephelus longispinis;Epinephelus;Serranidae
Epinephelus macrospilos;Epinephelus;Serranidae
Epinephelus maculatus;Epinephelus;Serranidae
Epinephelus malabaricus;Epinephelus;Serranidae
Epinephelus melanostigma;Epinephelus;Serranidae
Epinephelus merra;Epinephelus;Serranidae
Epinephelus morio;Epinephelus;Serranidae
Epinephelus multinotatus;Epinephelus;Serranidae
Epinephelus octofasciatus;Epinephelus;Serranidae
Epinephelus ongus;Epinephelus;Serranidae
Epinephelus polyphekadion;Epinephelus;Serranidae
Epinephelus quoyanus;Epinephelus;Serranidae
Epinephelus rivulatus;Epinephelus;Serranidae
Epinephelus socialis;Epinephelus;Serranidae
Epinephelus spilotoceps;Epinephelus;Serranidae
Epinephelus striatus;Epinephelus;Serranidae
Epinephelus tauvina;Epinephelus;Serranidae
Epinephelus tukula;Epinephelus;Serranidae
Epinephelus undulatostriatus;Epinephelus;Serranidae
Equetus punctatus;Equetus;Sciaenidae
Eucrossorhinus dasypogon;Eucrossorhinus;Orectolobidae
Euthynnus affinis;Euthynnus;Scombridae
Euthynnus lineatus;Euthynnus;Scombridae
Eviota  punctulata;Eviota;Gobiidae
Eviota albolineata;Eviota;Gobiidae
Eviota atriventris;Eviota;Gobiidae
Eviota bifasciata;Eviota;Gobiidae
Eviota bimaculata;Eviota;Gobiidae
Eviota fasciola;Eviota;Gobiidae
Eviota guttata;Eviota;Gobiidae
Eviota hoesei;Eviota;Gobiidae
Eviota latifasciata;Eviota;Gobiidae
Eviota melasma;Eviota;Gobiidae
Eviota mikiae;Eviota;Gobiidae
Eviota nigriventris;Eviota;Gobiidae
Eviota pellucida;Eviota;Gobiidae
Eviota prasites;Eviota;Gobiidae
Eviota queenslandica;Eviota;Gobiidae
Eviota raja;Eviota;Gobiidae
Eviota rubriceps;Eviota;Gobiidae
Eviota sebreei;Eviota;Gobiidae
Eviota sigillata;Eviota;Gobiidae
Eviota storthynx;Eviota;Gobiidae
Eviota zebrina;Eviota;Gobiidae
Exallias brevis;Exallias;Blenniidae
Exyrias belissimus;Exyrias;Gobiidae
Fistularia commersonii;Fistularia;Fistulariidae
Fistularia petimba;Fistularia;Fistulariidae
Fistularia tabacaria;Fistularia;Fistulariidae
Forcipiger flavissimus;Forcipiger;Chaetodontidae
Forcipiger longirostris;Forcipiger;Chaetodontidae
Fusigobius duospilus;Fusigobius;Gobiidae
Fusigobius inframaculatus;Fusigobius;Gobiidae
Fusigobius melacron;Fusigobius;Gobiidae
Fusigobius neophytus;Fusigobius;Gobiidae
Fusigobius signipinnis;Fusigobius;Gobiidae
Galeocerdo cuvier;Galeocerdo;Carcharhinidae
Genicanthus lamarck;Genicanthus;Pomacanthidae
Genicanthus melanospilos;Genicanthus;Pomacanthidae
Genicanthus semicinctus;Genicanthus;Pomacanthidae
Genicanthus watanabei;Genicanthus;Pomacanthidae
Gerres cinereus;Gerres;Gerreidae
Gerres subfasciatus;Gerres;Gerreidae
Ginglymostoma cirratum;Ginglymostoma;Ginglymostomatidae
Girella cyanea;Girella;Kyphosidae
Girella freminvillii;Girella;Kyphosidae
Gladiogobius  brevispinis;Gladiogobius;Gobiidae
Glaucosoma magnificum;Glaucosoma;Glaucosomatidae
Glyptoparus delicatulus;Glyptoparus;Blenniidae
Gnathanodon speciosus;Gnathanodon;Carangidae
Gnathodentex aureolineatus;Gnathodentex;Lethrinidae
Gnatholepis anjerensis;Gnatholepis;Gobiidae
Gnatholepis cauerensis;Gnatholepis;Gobiidae
Gnatholepis thompsoni;Gnatholepis;Gobiidae
Gobiodon  histrio;Gobiodon;Gobiidae
Gobiodon citrinus;Gobiodon;Gobiidae
Gobiodon heterospilos;Gobiodon;Gobiidae
Gobiodon histrio;Gobiodon;Gobiidae
Gobiodon okinawae;Gobiodon;Gobiidae
Gobiodon quinquestrigatus;Gobiodon;Gobiidae
Gobiodon spilophthalmus;Gobiodon;Gobiidae
Gomphosus caeruleus;Gomphosus;Labridae
Gomphosus varius;Gomphosus;Labridae
Goniistius plessisi;Goniistius;Latridae
Gorgasia galzini;Gorgasia;Congridae
Gracila albomarginata;Gracila;Serranidae
Gramma brasiliensis;Gramma;Grammatidae
Gramma loreto;Gramma;Grammatidae
Grammatorcynus bicarinatus;Grammatorcynus;Scombridae
Grammatorcynus bilineatus;Grammatorcynus;Scombridae
Grammistes sexlineatus;Grammistes;Serranidae
Gunnellichthys monostigma;Gunnellichthys;Microdesmidae
Gymnocaesio gymnoptera;Gymnocaesio;Caesionidae
Gymnocranius audleyi;Gymnocranius;Lethrinidae
Gymnocranius euanus;Gymnocranius;Lethrinidae
Gymnocranius microdon;Gymnocranius;Lethrinidae
Gymnocranius superciliosus;Gymnocranius;Lethrinidae
Gymnomuraena zebra;Gymnomuraena;Muraenidae
Gymnosarda unicolor;Gymnosarda;Scombridae
Gymnothorax annasona;Gymnothorax;Muraenidae
Gymnothorax breedeni;Gymnothorax;Muraenidae
Gymnothorax castaneus;Gymnothorax;Muraenidae
Gymnothorax dovii;Gymnothorax;Muraenidae
Gymnothorax eurostus;Gymnothorax;Muraenidae
Gymnothorax favagineus;Gymnothorax;Muraenidae
Gymnothorax flavimarginatus;Gymnothorax;Muraenidae
Gymnothorax funebris;Gymnothorax;Muraenidae
Gymnothorax isingteena;Gymnothorax;Muraenidae
Gymnothorax javanicus;Gymnothorax;Muraenidae
Gymnothorax meleagris;Gymnothorax;Muraenidae
Gymnothorax miliaris;Gymnothorax;Muraenidae
Gymnothorax moringa;Gymnothorax;Muraenidae
Gymnothorax nubilus;Gymnothorax;Muraenidae
Gymnothorax panamensis;Gymnothorax;Muraenidae
Gymnothorax pictus;Gymnothorax;Muraenidae
Gymnothorax porphyreus;Gymnothorax;Muraenidae
Gymnothorax prionodon;Gymnothorax;Muraenidae
Gymnothorax thrysoideus;Gymnothorax;Muraenidae
Gymnothorax undulatus;Gymnothorax;Muraenidae
Haemulon album;Haemulon;Haemulidae
Haemulon aurolineatum;Haemulon;Haemulidae
Haemulon carbonarium;Haemulon;Haemulidae
Haemulon chrysargyreum;Haemulon;Haemulidae
Haemulon flaviguttatum;Haemulon;Haemulidae
Haemulon flavolineatum;Haemulon;Haemulidae
Haemulon macrostomum;Haemulon;Haemulidae
Haemulon maculicauda;Haemulon;Haemulidae
Haemulon parra;Haemulon;Haemulidae
Haemulon plumierii;Haemulon;Haemulidae
Haemulon sciurus;Haemulon;Haemulidae
Haemulon scudderii;Haemulon;Haemulidae
Haemulon sexfasciatum;Haemulon;Haemulidae
Haemulon steindachneri;Haemulon;Haemulidae
Halichoeres adustus;Halichoeres;Labridae
Halichoeres argus;Halichoeres;Labridae
Halichoeres biocellatus;Halichoeres;Labridae
Halichoeres bivittatus;Halichoeres;Labridae
Halichoeres brasiliensis;Halichoeres;Labridae
Halichoeres brownfieldi;Halichoeres;Labridae
Halichoeres chierchiae;Halichoeres;Labridae
Halichoeres chloropterus;Halichoeres;Labridae
Halichoeres chrysus;Halichoeres;Labridae
Halichoeres cosmetus;Halichoeres;Labridae
Halichoeres cyanocephalus;Halichoeres;Labridae
Halichoeres dimidiatus;Halichoeres;Labridae
Halichoeres discolor;Halichoeres;Labridae
Halichoeres dispilus;Halichoeres;Labridae
Halichoeres erdmanni;Halichoeres;Labridae
Halichoeres garnoti;Halichoeres;Labridae
Halichoeres hartzfeldii;Halichoeres;Labridae
Halichoeres hortulanus;Halichoeres;Labridae
Halichoeres iridis;Halichoeres;Labridae
Halichoeres leucoxanthus;Halichoeres;Labridae
Halichoeres leucurus;Halichoeres;Labridae
Halichoeres maculipinna;Halichoeres;Labridae
Halichoeres malpelo;Halichoeres;Labridae
Halichoeres margaritaceus;Halichoeres;Labridae
Halichoeres marginatus;Halichoeres;Labridae
Halichoeres melanochir;Halichoeres;Labridae
Halichoeres melanurus;Halichoeres;Labridae
Halichoeres melasmapomus;Halichoeres;Labridae
Halichoeres miniatus;Halichoeres;Labridae
Halichoeres nebulosus;Halichoeres;Labridae
Halichoeres nicholsi;Halichoeres;Labridae
Halichoeres nigrescens;Halichoeres;Labridae
Halichoeres notospilus;Halichoeres;Labridae
Halichoeres orientalis;Halichoeres;Labridae
Halichoeres ornatissimus;Halichoeres;Labridae
Halichoeres pictus;Halichoeres;Labridae
Halichoeres poeyi;Halichoeres;Labridae
Halichoeres prosopeion;Halichoeres;Labridae
Halichoeres radiatus;Halichoeres;Labridae
Halichoeres richmondi;Halichoeres;Labridae
Halichoeres salmofasciatus;Halichoeres;Labridae
Halichoeres scapularis;Halichoeres;Labridae
Halichoeres semicinctus;Halichoeres;Labridae
Halichoeres solorensis;Halichoeres;Labridae
Halichoeres timorensis;Halichoeres;Labridae
Halichoeres trimaculatus;Halichoeres;Labridae
Helcogramma chica;Helcogramma;Tripterygiidae
Helcogramma maldivensis;Helcogramma;Tripterygiidae
Helcogramma striatum;Helcogramma;Tripterygiidae
Hemiglyphidodon plagiometopon;Hemiglyphidodon;Pomacentridae
Hemigymnus fasciatus;Hemigymnus;Labridae
Hemigymnus melapterus;Hemigymnus;Labridae
Hemiscyllium ocellatum;Hemiscyllium;Hemiscylliidae
Hemiscyllium trispeculare;Hemiscyllium;Hemiscylliidae
Hemitaurichthys multispinosus;Hemitaurichthys;Chaetodontidae
Hemitaurichthys polylepis;Hemitaurichthys;Chaetodontidae
Hemitaurichthys thompsoni;Hemitaurichthys;Chaetodontidae
Hemitaurichthys zoster;Hemitaurichthys;Chaetodontidae
Heniochus acuminatus;Heniochus;Chaetodontidae
Heniochus chrysostomus;Heniochus;Chaetodontidae
Heniochus diphreutes;Heniochus;Chaetodontidae
Heniochus intermedius;Heniochus;Chaetodontidae
Heniochus monoceros;Heniochus;Chaetodontidae
Heniochus pleurotaenia;Heniochus;Chaetodontidae
Heniochus singularius;Heniochus;Chaetodontidae
Heniochus varius;Heniochus;Chaetodontidae
Heteroconger hassi;Heteroconger;Congridae
Heteroconger klausewitzi;Heteroconger;Congridae
Heteropriacanthus cruentatus;Heteropriacanthus;Priacanthidae
Hippocampus bargibanti;Hippocampus;Syngnathidae
Hipposcarus harid;Hipposcarus;Scaridae
Hipposcarus longiceps;Hipposcarus;Scaridae
Holacanthus bermudensis;Holacanthus;Pomacanthidae
Holacanthus ciliaris;Holacanthus;Pomacanthidae
Holacanthus passer;Holacanthus;Pomacanthidae
Holacanthus tricolor;Holacanthus;Pomacanthidae
Holocentrus adscensionis;Holocentrus;Holocentridae
Holocentrus rufus;Holocentrus;Holocentridae
Hologymnosus annulatus;Hologymnosus;Labridae
Hologymnosus doliatus;Hologymnosus;Labridae
Hoplolatilus cuniculus;Hoplolatilus;Malacanthidae
Hoplolatilus starcki;Hoplolatilus;Malacanthidae
Hoplopagrus guentherii;Hoplopagrus;Lutjanidae
Hypoplectrus aberrans;Hypoplectrus;Serranidae
Hypoplectrus chlorurus;Hypoplectrus;Serranidae
Hypoplectrus gemma;Hypoplectrus;Serranidae
Hypoplectrus guttavarius;Hypoplectrus;Serranidae
Hypoplectrus indigo;Hypoplectrus;Serranidae
Hypoplectrus nigricans;Hypoplectrus;Serranidae
Hypoplectrus providencianus;Hypoplectrus;Serranidae
Hypoplectrus puella;Hypoplectrus;Serranidae
Hypoplectrus unicolor;Hypoplectrus;Serranidae
Hyporhamphus affinis;Hyporhamphus;Hemiramphidae
Hyporhamphus dussumieri;Hyporhamphus;Hemiramphidae
Inermia vittata;Inermia;Haemulidae
Iniistius celebicus;Iniistius;Labridae
Iniistius pavo;Iniistius;Labridae
Inimicus filamentosus;Inimicus;Synanceiidae
Isocirrhitus sexfasciatus;Isocirrhitus;Cirrhitidae
Istigobius decoratus;Istigobius;Gobiidae
Istigobius goldmanni;Istigobius;Gobiidae
Istigobius rigilius;Istigobius;Gobiidae
Istigobius spence;Istigobius;Gobiidae
Itycirrhitus wilhelmi;Itycirrhitus;Cirrhitidae
Jenkinsia lamprotaenia;Jenkinsia;Clupeidae
Johnrandallia nigrirostris;Johnrandallia;Chaetodontidae
Koumansetta hectori;Koumansetta;Gobiidae
Koumansetta rainfordi;Koumansetta;Gobiidae
Kyphosus analogus;Kyphosus;Kyphosidae
Kyphosus bigibbus;Kyphosus;Kyphosidae
Kyphosus cinerascens;Kyphosus;Kyphosidae
Kyphosus elegans;Kyphosus;Kyphosidae
Kyphosus incisor;Kyphosus;Kyphosidae
Kyphosus sectatrix;Kyphosus;Kyphosidae
Kyphosus sydneyanus;Kyphosus;Kyphosidae
Kyphosus vaigiensis;Kyphosus;Kyphosidae
Labracinus  cyclophthalmus;Labracinus;Pseudochromidae
Labracinus cyclophthalmus;Labracinus;Pseudochromidae
Labracinus lineatus;Labracinus;Pseudochromidae
Labracoglossa nitida;Labracoglossa;Kyphosidae
Labrichthys unilineatus;Labrichthys;Labridae
Labrisomus cricota;Labrisomus;Labrisomidae
Labrisomus dendriticus;Labrisomus;Labrisomidae
Labrisomus nuchipinnis;Labrisomus;Labrisomidae
Labroides bicolor;Labroides;Labridae
Labroides dimidiatus;Labroides;Labridae
Labroides pectoralis;Labroides;Labridae
Labroides phthirophagus;Labroides;Labridae
Labroides rubrolabiatus;Labroides;Labridae
Labropsis australis;Labropsis;Labridae
Labropsis manabei;Labropsis;Labridae
Labropsis micronesica;Labropsis;Labridae
Labropsis xanthonota;Labropsis;Labridae
Lachnolaimus maximus;Lachnolaimus;Labridae
Lactophrys bicaudalis;Lactophrys;Ostraciidae
Lactoria diaphana;Lactoria;Ostraciidae
Larabicus quadrilineatus;Larabicus;Labridae
Leiuranus versicolor;Leiuranus;Ophichthidae
Lepidonectes clarkhubbsi;Lepidonectes;Tripterygiidae
Lepidonectes corallicola;Lepidonectes;Tripterygiidae
Lepidozygus tapeinosoma;Lepidozygus;Pomacentridae
Leptojulis chrysotaenia;Leptojulis;Labridae
Leptojulis cyanopleura;Leptojulis;Labridae
Leptoscarus vaigiensis;Leptoscarus;Scaridae
Lethrinus amboinensis;Lethrinus;Lethrinidae
Lethrinus atkinsoni;Lethrinus;Lethrinidae
Lethrinus erythracanthus;Lethrinus;Lethrinidae
Lethrinus erythropterus;Lethrinus;Lethrinidae
Lethrinus harak;Lethrinus;Lethrinidae
Lethrinus laticaudis;Lethrinus;Lethrinidae
Lethrinus lentjan;Lethrinus;Lethrinidae
Lethrinus miniatus;Lethrinus;Lethrinidae
Lethrinus nebulosus;Lethrinus;Lethrinidae
Lethrinus obsoletus;Lethrinus;Lethrinidae
Lethrinus olivaceus;Lethrinus;Lethrinidae
Lethrinus ornatus;Lethrinus;Lethrinidae
Lethrinus rubrioperculatus;Lethrinus;Lethrinidae
Lethrinus semicinctus;Lethrinus;Lethrinidae
Lethrinus variegatus;Lethrinus;Lethrinidae
Lethrinus xanthochilus;Lethrinus;Lethrinidae
Limnichthys fasciatus;Limnichthys;Creediidae
Lotilia graciliosa;Lotilia;Gobiidae
Lucayablennius zingaro;Lucayablennius;Chaenopsidae
Lutjanus alexandrei;Lutjanus;Lutjanidae
Lutjanus analis;Lutjanus;Lutjanidae
Lutjanus apodus;Lutjanus;Lutjanidae
Lutjanus aratus;Lutjanus;Lutjanidae
Lutjanus argentimaculatus;Lutjanus;Lutjanidae
Lutjanus argentiventris;Lutjanus;Lutjanidae
Lutjanus biguttatus;Lutjanus;Lutjanidae
Lutjanus bohar;Lutjanus;Lutjanidae
Lutjanus boutton;Lutjanus;Lutjanidae
Lutjanus carponotatus;Lutjanus;Lutjanidae
Lutjanus colorado;Lutjanus;Lutjanidae
Lutjanus decussatus;Lutjanus;Lutjanidae
Lutjanus ehrenbergii;Lutjanus;Lutjanidae
Lutjanus erythropterus;Lutjanus;Lutjanidae
Lutjanus fulviflamma;Lutjanus;Lutjanidae
Lutjanus fulvus;Lutjanus;Lutjanidae
Lutjanus gibbus;Lutjanus;Lutjanidae
Lutjanus griseus;Lutjanus;Lutjanidae
Lutjanus guttatus;Lutjanus;Lutjanidae
Lutjanus inermis;Lutjanus;Lutjanidae
Lutjanus jocu;Lutjanus;Lutjanidae
Lutjanus johnii;Lutjanus;Lutjanidae
Lutjanus jordani;Lutjanus;Lutjanidae
Lutjanus kasmira;Lutjanus;Lutjanidae
Lutjanus lemniscatus;Lutjanus;Lutjanidae
Lutjanus lutjanus;Lutjanus;Lutjanidae
Lutjanus mahogoni;Lutjanus;Lutjanidae
Lutjanus monostigma;Lutjanus;Lutjanidae
Lutjanus novemfasciatus;Lutjanus;Lutjanidae
Lutjanus quinquelineatus;Lutjanus;Lutjanidae
Lutjanus rivulatus;Lutjanus;Lutjanidae
Lutjanus rufolineatus;Lutjanus;Lutjanidae
Lutjanus russellii;Lutjanus;Lutjanidae
Lutjanus sebae;Lutjanus;Lutjanidae
Lutjanus semicinctus;Lutjanus;Lutjanidae
Lutjanus synagris;Lutjanus;Lutjanidae
Lutjanus viridis;Lutjanus;Lutjanidae
Lutjanus vitta;Lutjanus;Lutjanidae
Luzonichthys waitei;Luzonichthys;Serranidae
Luzonichthys whitleyi;Luzonichthys;Serranidae
Macolor macularis;Macolor;Lutjanidae
Macolor niger;Macolor;Lutjanidae
Macrodontogobius wilburi;Macrodontogobius;Gobiidae
Macropharyngodon bipartitus;Macropharyngodon;Labridae
Macropharyngodon choati;Macropharyngodon;Labridae
Macropharyngodon geoffroy;Macropharyngodon;Labridae
Macropharyngodon kuiteri;Macropharyngodon;Labridae
Macropharyngodon meleagris;Macropharyngodon;Labridae
Macropharyngodon negrosensis;Macropharyngodon;Labridae
Macropharyngodon ornatus;Macropharyngodon;Labridae
Malacanthus brevirostris;Malacanthus;Malacanthidae
Malacanthus latovittatus;Malacanthus;Malacanthidae
Malacanthus plumieri;Malacanthus;Malacanthidae
Malacoctenus boehlkei;Malacoctenus;Labrisomidae
Malacoctenus ebisui;Malacoctenus;Labrisomidae
Malacoctenus margaritae;Malacoctenus;Labrisomidae
Malacoctenus tetranemus;Malacoctenus;Labrisomidae
Malacoctenus triangulatus;Malacoctenus;Labrisomidae
Manonichthys splendens;Manonichthys;Pseudochromidae
Manta birostris;Manta;Mobulidae
Mccoskerichthys sandae;Mccoskerichthys;Chaenopsidae
Megalops atlanticus;Megalops;Megalopidae
Meiacanthus atrodorsalis;Meiacanthus;Blenniidae
Meiacanthus bundoon;Meiacanthus;Blenniidae
Meiacanthus crinitus;Meiacanthus;Blenniidae
Meiacanthus ditrema;Meiacanthus;Blenniidae
Meiacanthus grammistes;Meiacanthus;Blenniidae
Meiacanthus kamoharai;Meiacanthus;Blenniidae
Meiacanthus lineatus;Meiacanthus;Blenniidae
Meiacanthus luteus;Meiacanthus;Blenniidae
Meiacanthus mossambicus;Meiacanthus;Blenniidae
Meiacanthus nigrolineatus;Meiacanthus;Blenniidae
Meiacanthus oualanensis;Meiacanthus;Blenniidae
Meiacanthus phaeus;Meiacanthus;Blenniidae
Meiacanthus reticulatus;Meiacanthus;Blenniidae
Meiacanthus smithi;Meiacanthus;Blenniidae
Meiacanthus tongaensis;Meiacanthus;Blenniidae
Melichthys indicus;Melichthys;Balistidae
Melichthys niger;Melichthys;Balistidae
Melichthys vidua;Melichthys;Balistidae
Microcanthus strigatus;Microcanthus;Kyphosidae
Microgobius microlepis;Microgobius;Gobiidae
Microspathodon bairdii;Microspathodon;Pomacentridae
Microspathodon chrysurus;Microspathodon;Pomacentridae
Microspathodon dorsalis;Microspathodon;Pomacentridae
Mobula thurstoni;Mobula;Myliobatidae
Monacanthus chinensis;Monacanthus;Monacanthidae
Monacanthus tuckeri;Monacanthus;Monacanthidae
Monodactylus argenteus;Monodactylus;Monodactylidae
Monotaxis grandoculis;Monotaxis;Lethrinidae
Monotaxis heterodon;Monotaxis;Lethrinidae
Mugil cephalus;Mugil;Mugilidae
Mulloidichthys dentatus;Mulloidichthys;Mullidae
Mulloidichthys flavolineatus;Mulloidichthys;Mullidae
Mulloidichthys martinicus;Mulloidichthys;Mullidae
Mulloidichthys mimicus;Mulloidichthys;Mullidae
Mulloidichthys vanicolensis;Mulloidichthys;Mullidae
Muraena clepsydra;Muraena;Muraenidae
Muraena lentiginosa;Muraena;Muraenidae
Mycteroperca bonaci;Mycteroperca;Serranidae
Mycteroperca interstitialis;Mycteroperca;Serranidae
Mycteroperca olfax;Mycteroperca;Serranidae
Mycteroperca tigris;Mycteroperca;Serranidae
Mycteroperca xenarcha;Mycteroperca;Serranidae
Myrichthys maculosus;Myrichthys;Ophichthidae
Myrichthys tigrinus;Myrichthys;Ophichthidae
